epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8317.44,0.71203,0.34135,0.81962,0.91944,0.93422,0.92674,0.75311,0.76833,0.47297,0.84139,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8570.99,0.70856,0.33951,0.81954,0.92113,0.93836,0.93085,0.75625,0.76657,0.46721,0.84395,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8826.52,0.70863,0.33843,0.81926,0.91826,0.94046,0.92697,0.75299,0.76518,0.46825,0.84225,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9080.49,0.7029,0.33585,0.81831,0.91868,0.93508,0.92624,0.75091,0.76759,0.47729,0.84357,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,9334.35,0.70112,0.33492,0.81848,0.91928,0.93873,0.92439,0.754,0.75883,0.46874,0.84121,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9589.31,0.69599,0.33373,0.81788,0.9179,0.93534,0.92447,0.75252,0.76185,0.46955,0.84383,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,267.327,0.6945,0.3316,0.8179,0.91984,0.93589,0.92495,0.75442,0.75732,0.46791,0.84307,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,525.391,0.691,0.33097,0.81802,0.91977,0.93327,0.92505,0.75621,0.75482,0.46973,0.84002,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,779.815,0.69154,0.33021,0.81686,0.92033,0.93958,0.92363,0.75496,0.75174,0.46354,0.84065,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1034.42,0.68488,0.32686,0.81645,0.91869,0.93513,0.92374,0.754,0.75609,0.46777,0.84233,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1288.57,0.6858,0.3281,0.81722,0.91875,0.93593,0.92572,0.75343,0.7617,0.46662,0.84529,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1543.12,0.68584,0.32716,0.81616,0.91785,0.93758,0.92676,0.75759,0.75025,0.46398,0.84075,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1797.24,0.68408,0.32696,0.81514,0.91882,0.93793,0.92513,0.75779,0.74851,0.46018,0.84033,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2051.65,0.67921,0.32434,0.81564,0.91618,0.93612,0.92429,0.75668,0.75184,0.4667,0.84131,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2305.81,0.67661,0.32299,0.81502,0.91364,0.93562,0.92315,0.7523,0.76368,0.47432,0.84508,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2560.75,0.67526,0.32263,0.81493,0.91563,0.93694,0.92683,0.75825,0.75417,0.46287,0.84186,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2821.61,0.67249,0.32067,0.81418,0.91978,0.93809,0.92921,0.76112,0.74899,0.45682,0.84001,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3075.34,0.67343,0.3213,0.81451,0.9198,0.93784,0.9278,0.7609,0.74948,0.45756,0.84008,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3328.94,0.67051,0.31998,0.81394,0.92206,0.93658,0.93012,0.76098,0.75585,0.45906,0.84231,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3582.98,0.66765,0.31846,0.81365,0.92089,0.93777,0.92667,0.75903,0.75205,0.45779,0.84042,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3837.04,0.66516,0.31692,0.81311,0.91934,0.93789,0.92476,0.75572,0.75731,0.46122,0.84255,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4090.66,0.66245,0.31606,0.81263,0.9187,0.93584,0.92583,0.75754,0.75576,0.46317,0.84245,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4344.19,0.66494,0.3163,0.81252,0.91839,0.93722,0.92725,0.75966,0.75286,0.4602,0.84093,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4598.09,0.66177,0.3156,0.81309,0.91782,0.93496,0.92817,0.76108,0.75406,0.46343,0.84208,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4851.93,0.65793,0.31331,0.81238,0.91618,0.93599,0.92676,0.75938,0.75485,0.46287,0.84216,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5105.55,0.65827,0.31365,0.81148,0.91792,0.93715,0.92663,0.75935,0.75526,0.45943,0.84134,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5359.21,0.65392,0.31132,0.81162,0.91902,0.93612,0.92803,0.7609,0.75458,0.45872,0.84121,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
