epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,34648.3,0.80249,0.26162,0.00131,0.90095,0.9243,0.90903,0.73997,0.83205,0.48184,0.00239,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,35174.3,0.80382,0.25945,0.00131,0.89427,0.92121,0.91129,0.73322,0.86534,0.49088,0.00253,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,35701.1,0.80217,0.25991,0.0013,0.90313,0.92162,0.90851,0.73553,0.83836,0.4912,0.0024,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,36256.2,0.79726,0.25959,0.00131,0.90451,0.92302,0.91292,0.74309,0.83355,0.47952,0.0024,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,36780.4,0.79503,0.25876,0.00129,0.9074,0.93305,0.91656,0.74687,0.8227,0.44817,0.00234,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,37300.9,0.79319,0.25821,0.00129,0.90035,0.9298,0.91063,0.73393,0.8449,0.46826,0.00243,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,37817.7,0.7921,0.25625,0.00129,0.90591,0.92502,0.91294,0.7438,0.82886,0.47646,0.00238,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,38334.8,0.78814,0.25678,0.00128,0.90588,0.92767,0.9142,0.7449,0.82691,0.46911,0.00238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,38852.7,0.78982,0.25587,0.00127,0.90785,0.92829,0.91607,0.74342,0.83619,0.46297,0.0024,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,39379.4,0.78342,0.25326,0.00127,0.90402,0.92273,0.91627,0.74297,0.8397,0.47437,0.00243,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,39920.9,0.78064,0.25345,0.00127,0.90549,0.92968,0.91618,0.74313,0.83759,0.46524,0.00241,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,40477.3,0.77851,0.25111,0.00126,0.90899,0.92881,0.91976,0.7502,0.82475,0.45489,0.00235,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,41029,0.77361,0.24984,0.00125,0.90689,0.92822,0.91419,0.74641,0.82381,0.46831,0.00236,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,41580.9,0.77159,0.24724,0.00125,0.90707,0.93288,0.91546,0.74609,0.82542,0.46092,0.00238,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,42131.3,0.77432,0.24898,0.00124,0.90638,0.93166,0.91662,0.74669,0.83105,0.46066,0.00239,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,42689.9,0.76232,0.24591,0.00123,0.91111,0.92931,0.91487,0.74671,0.82589,0.46627,0.00236,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,43225.5,0.75948,0.24354,0.00123,0.91086,0.93143,0.91676,0.74844,0.82705,0.45637,0.00236,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,43780.6,0.75901,0.24347,0.00122,0.91354,0.93026,0.91972,0.75131,0.82211,0.45808,0.00233,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,44333.4,0.75451,0.24231,0.00122,0.9107,0.92631,0.91405,0.74718,0.82122,0.47231,0.00233,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,44854.9,0.75186,0.24241,0.00121,0.90724,0.92164,0.91366,0.74675,0.82616,0.48717,0.00237,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,45370.1,0.74494,0.23839,0.00121,0.90677,0.92467,0.91359,0.74322,0.83914,0.48673,0.00242,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,45893.8,0.7412,0.23929,0.0012,0.9047,0.92708,0.91279,0.74185,0.83948,0.48446,0.00242,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,46405.8,0.74192,0.24029,0.0012,0.90961,0.9273,0.91538,0.74524,0.83254,0.47255,0.00238,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,46918.4,0.73622,0.23827,0.00119,0.9116,0.92781,0.91734,0.74578,0.83736,0.46876,0.00239,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,47436.1,0.73249,0.23637,0.00117,0.90962,0.92784,0.91725,0.74494,0.84218,0.46978,0.00242,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,47960.8,0.72764,0.23556,0.00117,0.90746,0.93105,0.91392,0.7399,0.84602,0.47273,0.00244,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,48479.9,0.72357,0.23295,0.00116,0.91083,0.93301,0.9177,0.74721,0.83343,0.46004,0.00239,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,48996.3,0.72362,0.23389,0.00116,0.90998,0.93507,0.91844,0.74854,0.83179,0.45848,0.00238,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,49513.7,0.71766,0.2318,0.00115,0.90978,0.93598,0.91911,0.74902,0.8319,0.45569,0.00238,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,50041.3,0.70967,0.22954,0.00114,0.91169,0.93639,0.91824,0.7489,0.82921,0.45413,0.00236,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,50567.6,0.70863,0.22924,0.00114,0.91218,0.93627,0.91913,0.75019,0.82604,0.45164,0.00235,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,51082.7,0.70623,0.22816,0.00113,0.91125,0.93692,0.92048,0.75032,0.82939,0.45415,0.00236,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,51598,0.69879,0.22479,0.00112,0.91185,0.93557,0.9198,0.74953,0.83085,0.45625,0.00237,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,52118.7,0.70139,0.22645,0.00112,0.90934,0.93701,0.91838,0.74858,0.83152,0.45792,0.00237,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,52635.6,0.69427,0.22517,0.00113,0.90918,0.93608,0.9179,0.74801,0.83152,0.4591,0.00237,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,53153.8,0.6957,0.22454,0.00112,0.90908,0.93559,0.9174,0.74821,0.83059,0.45923,0.00237,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,53680.6,0.68858,0.22187,0.0011,0.90951,0.93665,0.91852,0.75018,0.82664,0.45356,0.00235,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,54238.1,0.68566,0.22128,0.0011,0.90989,0.93651,0.9186,0.74991,0.82834,0.45359,0.00236,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
